From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
6AK4	Q9C0B1	reviewed	FTO_HUMAN	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	FTO KIAA1752	Homo sapiens (Human)	505
2EX2	P24228	reviewed	DACB_ECOLI	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (D-alanyl-D-alanine endopeptidase) (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 4) (PBP-4)	dacB b3182 JW3149	Escherichia coli (strain K12)	477
3NYT	Q9HZ76	reviewed	WBPE_PSEAE	UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase (UDP-3-oxo-D-GlcNAcA aminotransferase) (EC 2.6.1.98) (UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronic acid transaminase) (UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase)	wbpE PA3155	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	359
1WCW	Q5SKH2	unreviewed	Q5SKH2_THET8	Probable uroporphyrinogen-III synthase	TTHA0671	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	253
4EV8	Q02248	reviewed	CTNB1_MOUSE	Catenin beta-1 (Beta-catenin)	Ctnnb1 Catnb	Mus musculus (Mouse)	781
2QT1	Q9NWW6	reviewed	NRK1_HUMAN	Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1)	NMRK1 C9orf95 NRK1	Homo sapiens (Human)	199
2AGK	P40545	reviewed	HIS4_YEAST	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (5-proFAR isomerase) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	HIS6 YIL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
1O9G	Q9F5K5	reviewed	AVRA_STRVR	23S rRNA (guanine(2535)-N(1))-methyltransferase (EC 2.1.1.209) (Avilamycin resistance protein A)	aviRa	Streptomyces viridochromogenes	250
5KTN	O57767	reviewed	NADA_PYRHO	Quinolinate synthase (QS) (EC 2.5.1.72)	nadA PH0013	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	300
1BX7	P80302	reviewed	ANTA_HIRME	Hirustasin		Hirudo medicinalis (Medicinal leech)	55
2YBY	P06909	reviewed	CFAH_MOUSE	Complement factor H (Protein beta-1-H)	Cfh Hf1	Mus musculus (Mouse)	1234
4NOB	O70570	reviewed	PIGR_MOUSE	Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) [Cleaved into: Secretory component]	Pigr	Mus musculus (Mouse)	771
5CDV	Q9RUY4	unreviewed	Q9RUY4_DEIRA	Proline dipeptidase	DR_1246	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1)	349
3FSA	P00282	reviewed	AZUR_PSEAE	Azurin	azu PA4922	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	148
3MJF	Q8ZAR2	reviewed	PUR2_YERPE	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD YPO3729 y0501 YP_3092	Yersinia pestis	428
1X19	Q8KGE0	reviewed	BCHU_CHLTE	Bacteriochlorophyllide d C-20 methyltransferase (EC 2.1.1.333) (Bacteriochlorophyllide d MTase)	bchU CT0028	Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) (Chlorobium tepidum)	338
4LDN	Q5DYV8	reviewed	DEOD3_ALIF1	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)	deoD3 VF_A0968	Aliivibrio fischeri (strain ATCC 700601 / ES114) (Vibrio fischeri)	239
3K9T	Q97H19	reviewed	PBPAD_CLOAB	Putative polysaccharide biosynthesis protein with aminopeptidase-like domain	CA_C2195	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	434
1TWU	P37479	reviewed	YYCE_BACSU	Uncharacterized protein YycE	yycE BSU40430	Bacillus subtilis (strain 168)	139
4GOS	Q7Z7D3	reviewed	VTCN1_HUMAN	V-set domain-containing T-cell activation inhibitor 1 (B7 homolog 4) (B7-H4) (B7h.5) (Immune costimulatory protein B7-H4) (Protein B7S1) (T-cell costimulatory molecule B7x)	VTCN1 B7H4 UNQ659/PRO1291	Homo sapiens (Human)	282
1YHT	Q840G9	unreviewed	Q840G9_AGGAC	Beta-N-acetylhexosaminidase	dspB	Aggregatibacter actinomycetemcomitans (Actinobacillus actinomycetemcomitans) (Haemophilus actinomycetemcomitans)	361
2OSX	O33853	unreviewed	O33853_RHOSO	Endoglycoceramidase II (EC 3.2.1.123)		Rhodococcus sp	490
2HKJ	O05207	reviewed	TOP6B_SACSH	Type 2 DNA topoisomerase 6 subunit B (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit B) (TopoVI-B)	top6B	Saccharolobus shibatae (Sulfolobus shibatae)	530
3OHG	A7LRK2	unreviewed	A7LRK2_BACO1	Phosphodiester glycosidase domain-containing protein	BACOVA_00430	Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153)	315
4G26	Q66GI4	reviewed	PRRP1_ARATH	Proteinaceous RNase P 1, chloroplastic/mitochondrial (EC 3.1.26.5) (Pentatricopeptide repeat-containing protein At2g32230)	PRORP1 At2g32230 F22D22.2	Arabidopsis thaliana (Mouse-ear cress)	572
5M48	Q05543	reviewed	RT103_YEAST	Regulator of Ty1 transposition protein 103	RTT103 YDR289C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409
3SOY	Q8ZPH9	unreviewed	Q8ZPH9_SALTY	Outer membrane protein	STM1528	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	180
2GGC	P0AE18	reviewed	MAP1_ECOLI	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map b0168 JW0163	Escherichia coli (strain K12)	264
1PO5	P00178	reviewed	CP2B4_RABIT	Cytochrome P450 2B4 (EC 1.14.14.1) (CYPIIB4) (Cytochrome P450 isozyme 2) (Cytochrome P450 LM2) (Cytochrome P450 type B0) (Cytochrome P450 type B1)	CYP2B4	Oryctolagus cuniculus (Rabbit)	491
1V30	O58558	reviewed	Y828_PYRHO	Putative gamma-glutamylcyclotransferase PH0828 (EC 2.3.2.-)	PH0828	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	116
3F8T	Q8TWB5	unreviewed	Q8TWB5_METKA	Predicted ATPase involved in replication control, Cdc46/Mcm family	mcm2_2 MK1120	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	506
5UFK	Q5ZWW6	unreviewed	Q5ZWW6_LEGPH	Type IV secretion protein Dot	lpg0968	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	573
3R4V	B3FK34	reviewed	PHUZ_BP201	Phage tubulin-like protein (PhuZ) (EC 3.6.5.-) (Phage tubulin/FtsZ) (Tubulin-like protein TubZ)	201phi2-1p059	Pseudomonas phage 201phi2-1 (Pseudomonas chlororaphis phage 201phi2-1)	315
4L8P	Q9RB47	unreviewed	Q9RB47_PEPHT	Bile acid 7-alpha dehydratase (EC 4.2.1.106) (Bile acid 7a-dehydratase)	baiE CLOHIR_00079	Peptacetobacter hiranonis (strain DSM 13275 / JCM 10541 / KCTC 15199 / TO-931) (Clostridium hiranonis)	168
3P3Y	O94856	reviewed	NFASC_HUMAN	Neurofascin	NFASC KIAA0756	Homo sapiens (Human)	1347
3NED	D1MPT3	unreviewed	D1MPT3_DISSP	PAmCherry1 protein	PAmCherry PAmCherry1	Discosoma sp. (Sea anemone)	236
3D0J	Q97DI0	unreviewed	Q97DI0_CLOAB	Cupin	CA_C3497	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	137
4B4Y	L7MTK4	unreviewed	L7MTK4_SYMRO	Neuroglobin		Symsagittifera roscoffensis (Mint-sauce worm) (Convoluta roscoffensis)	154
1JBE	P0AE67	reviewed	CHEY_ECOLI	Chemotaxis protein CheY	cheY b1882 JW1871	Escherichia coli (strain K12)	129
5HB7	G0S156	reviewed	NUP53_CHATD	Nucleoporin NUP53 (Nuclear pore protein NUP53)	NUP53 CTHT_0012410	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila)	426
1QYI	A0A0H3JXW6	unreviewed	A0A0H3JXW6_STAAW	HAD family hydrolase	MW1667	Staphylococcus aureus (strain MW2)	376
2VJW	A0R2U9	unreviewed	A0R2U9_MYCS2	GAF family protein	MSMEG_5241	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	571
2HUJ	Q92AB8	unreviewed	Q92AB8_LISIN	Lin2004 protein	lin2004	Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262)	121
4P5P	A0Q664	unreviewed	A0Q664_FRATN	ThiJ/PfpI family protein	FTN_0841	Francisella tularensis subsp. novicida (strain U112)	225
4P5I	Q2F862	unreviewed	Q2F862_ORFV	Chemokine binding protein		Orf virus (ORFV)	286
2YMO	C6KSX0	reviewed	PF12_PLAF7	Merozoite surface protein P12 [Cleaved into: Merozoite surface protein P12, processed form]	PF12 PFF0615c	Plasmodium falciparum (isolate 3D7)	347
3F14	A0A7D9NMJ8	unreviewed	A0A7D9NMJ8_CYTH3	uncharacterized NTF2-like protein	CHU_3788 YP_680363.1	Cytophaga hutchinsonii (strain ATCC 33406 / DSM 1761 / CIP 103989 / NBRC 15051 / NCIMB 9469 / D465)	112
6JJ4	Q8LQ68	reviewed	HXK6_ORYSJ	Hexokinase-6 (EC 2.7.1.1) (Hexokinase-2)	HXK6 HXK2 Os01g0742500 LOC_Os01g53930 P0439E07.19	Oryza sativa subsp. japonica (Rice)	506
4L1N	A0PXY7	unreviewed	A0PXY7_CLONN	Conserved lipoprotein, putative	NT01CX_1156	Clostridium novyi (strain NT)	240
3GOE	Q9USX3	reviewed	RAD60_SCHPO	DNA repair protein rad60	rad60 SPBC1921.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	406
1XT5	Q8I9N0	unreviewed	Q8I9N0_BRAFL	chitinase (EC 3.2.1.14)	VCBP3	Branchiostoma floridae (Florida lancelet) (Amphioxus)	334
6GV3	Q42551	reviewed	SCE1_ARATH	SUMO-conjugating enzyme SCE1 (EC 2.3.2.-) (Protein EMBRYO DEFECTIVE 1637) (Protein hus5 homolog) (SUMO-conjugating enzyme 1) (AtSCE1)	SCE1 AHUS5 EMB1637 At3g57870 T10K17.80	Arabidopsis thaliana (Mouse-ear cress)	160
2CI1	P56965	reviewed	DDAH1_BOVIN	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)	DDAH1	Bos taurus (Bovine)	285
3HBZ	Q8A605	unreviewed	Q8A605_BACTN	Putative carbohydrate metabolism domain-containing protein	BT_2081	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	361
2OBD	P11597	reviewed	CETP_HUMAN	Cholesteryl ester transfer protein (Lipid transfer protein I)	CETP	Homo sapiens (Human)	493
4PHR	I1ZPA1	unreviewed	I1ZPA1_STRPA	Putative glycosyltransferase (GalT1)	galT1 Spaf_1933	Streptococcus parasanguinis FW213	582
4EIC	O30881	reviewed	CYC6_SYNP2	Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f)	petJ SYNPCC7002_A0167	Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)	117
3DSM	A7V5N4	unreviewed	A7V5N4_BACUC	YncE family protein	BACUNI_02894	Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CCUG 4942 / CIP 103695 / JCM 5828 / KCTC 5204 / NCTC 13054 / VPI 0061)	334
5X3D	P96074	reviewed	FOM1_STRWE	Fosfomycin biosynthesis bifunctional protein Fom1 [Includes: 2-hydroxyethylphosphonate cytidylyltransferase (EC 2.7.7.104); Phosphoenolpyruvate phosphomutase (PEP mutase) (PEP phosphomutase) (EC 5.4.2.9)]	fom1	Streptomyces wedmorensis	435
6HHN	T2KM13	reviewed	PLH21_FORAG	L-rhamnose mutarotase (EC 5.1.3.32) (P21_mutarotase) (Polysaccharide utilization locus H protein P21) (PUL H protein P21) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM BN863_22100	Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1)	104
5CUK	Q9I332	unreviewed	Q9I332_PSEAE	Translocation protein in type III secretion	pscP PA1695	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	369
4RUV	Q2G000	unreviewed	Q2G000_STAA8	Thioredoxin, putative	SAOUHSC_00834	Staphylococcus aureus (strain NCTC 8325 / PS 47)	106
5JNM	Q2FW96	reviewed	MTLD_STAA8	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD SAOUHSC_02403	Staphylococcus aureus (strain NCTC 8325 / PS 47)	368
3MTW	Q9A4Z9	unreviewed	Q9A4Z9_CAUVC	Xaa-Pro dipeptidase, putative	CC_2672	Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus)	429
4YJ1	Q57ZF2	unreviewed	Q57ZF2_TRYB2	Mitochondrial RNA binding complex 1 subunit	Tb03.30P12.70 Tb927.3.1590	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	668
2V05	Q8DR52	unreviewed	Q8DR52_STRR6	Choline-binding protein F	cbpF spr0337	Streptococcus pneumoniae (strain ATCC BAA-255 / R6)	338
3GM5	Q8RCQ6	unreviewed	Q8RCQ6_CALS4	Lactoylglutathione lyase and related lyases	GloA TTE0360	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	150
2VGA	P24766	reviewed	PG170_VACCW	Protein OPG170	OPG170 VACWR166 A41L	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	219
2DBN	P75791	reviewed	YBIU_ECOLI	Uncharacterized protein YbiU	ybiU b0821 JW0805	Escherichia coli (strain K12)	421
5EDF	Q08840	unreviewed	Q08840_NEIME	FrpC operon protein (RTX iron-regulated protein (frpC))	A6L86_03400 A6L86_07700	Neisseria meningitidis	271
4DD5	Q18AR0	reviewed	THLA_CLOD6	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	thlA CD630_10590	Clostridioides difficile (strain 630) (Peptoclostridium difficile)	391
3E0K	Q87M87	reviewed	ARGA_VIBPA	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)	argA VP2371	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)	445
5NFM	A0A452CS62	unreviewed	A0A452CS62_SINM2	YrbA	SM2011_c00487	Sinorhizobium meliloti (strain Sm2011 / Rm2011 / 2011)	75
6NXI	A5F5Y3	reviewed	APBE_VIBC3	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	apbE VC0395_A1878 VC395_2405	Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395)	334
6PDK	B2FJJ6	unreviewed	B2FJJ6_STRMK	Uncharacterized protein	Smlt3025	Stenotrophomonas maltophilia (strain K279a)	333
2VQ2	Q9JZ41	unreviewed	Q9JZ41_NEIMB	Fimbrial biogenesis and twitching motility protein	NMB1309	Neisseria meningitidis serogroup B (strain MC58)	253
1UX6	P07996	reviewed	TSP1_HUMAN	Thrombospondin-1 (Glycoprotein G)	THBS1 TSP TSP1	Homo sapiens (Human)	1170
5MPH	Q9NZI5	reviewed	GRHL1_HUMAN	Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)	GRHL1 LBP32 MGR TFCP2L2	Homo sapiens (Human)	618
4KUI	P06701	reviewed	SIR3_YEAST	Regulatory protein SIR3 (Silent information regulator 3)	SIR3 CMT1 MAR2 STE8 YLR442C L9753.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	978
1TP6	Q9I430	unreviewed	Q9I430_PSEAE	DUF4440 domain-containing protein	PA1314	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	128
3L1N	O42721	reviewed	MP1_TALMA	Cell wall mannoprotein 1	MP1	Talaromyces marneffei (Penicillium marneffei)	462
3TJM	P49327	reviewed	FAS_HUMAN	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	FASN FAS	Homo sapiens (Human)	2511
3NIR	P01542	reviewed	CRAM_CRAAB	Crambin	THI2	Crambe hispanica subsp. abyssinica (Abyssinian kale) (Crambe abyssinica)	46
3GD6	Q8EMJ9	reviewed	GALRD_OCEIH	Galactarate dehydratase (D-threo-forming) (GalrD) (EC 4.2.1.158) (GalrD-II)	OB2843	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	391
4J7N	O70348	reviewed	DXO_MOUSE	Decapping and exoribonuclease protein (DXO) (EC 3.6.1.-) (5'-3' exoribonuclease DXO) (EC 3.1.13.-) (Dom-3 homolog Z) (NAD-capped RNA hydrolase DXO) (DeNADding enzyme DXO) (EC 3.6.1.-)	Dxo Dom3z Ng6	Mus musculus (Mouse)	397
3BDI	Q9HLN3	unreviewed	Q9HLN3_THEAC	Serine aminopeptidase S33 domain-containing protein	Ta0194	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	197
6HQP	P0DPQ7	reviewed	GCOA_AMYS7	Aromatic O-demethylase, cytochrome P450 subunit (EC 1.14.14.-)	gcoA	Amycolatopsis sp. (strain ATCC 39116 / 75iv2)	407
5DKT	Q8ILY1	unreviewed	Q8ILY1_PLAF7	Plastid replication-repair enzyme (EC 2.7.7.7)	PF3D7_1411400	Plasmodium falciparum (isolate 3D7)	2016
1YC9	Q9KS51	unreviewed	Q9KS51_VIBCH	Multidrug resistance protein, putative	VC_1409	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	484
5FA8	C3MWA1	unreviewed	C3MWA1_SULIM	Ribosomal protein L11 methyltransferase, putative	M1425_1574	Sulfolobus islandicus (strain M.14.25 / Kamchatka #1)	161
1M15	P51541	reviewed	KARG_LIMPO	Arginine kinase (AK) (EC 2.7.3.3)		Limulus polyphemus (Atlantic horseshoe crab)	357
5TGQ	A0A1S4NYF7	unreviewed	A0A1S4NYF7_STAWA	R-SwaI protein (R.SwaI protein)		Staphylococcus warneri	226
4H7W	Q9BQ65	reviewed	USB1_HUMAN	U6 snRNA phosphodiesterase 1 (hUsb1) (3'-5' RNA exonuclease USB1) (EC 4.6.1.-) (Mutated in poikiloderma with neutropenia protein 1) (Mutated in PN protein 1) (hMpn1)	USB1 C16orf57 Mpn1	Homo sapiens (Human)	265
1T6C	O67040	unreviewed	O67040_AQUAE	Exopolyphosphatase	ppx aq_891	Aquifex aeolicus (strain VF5)	312
5TT5	P15042	reviewed	DNLJ_ECOLI	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA dnaL lig lop pdeC b2411 JW2403	Escherichia coli (strain K12)	671
5O37	O69052	reviewed	PTXB_STUST	Probable phosphite transport system-binding protein PtxB	ptxB	Stutzerimonas stutzeri (Pseudomonas stutzeri)	287
1CWV	P11922	reviewed	INVA_YERPS	Invasin	YPTB1668	Yersinia pseudotuberculosis serotype I (strain IP32953)	985
6O0W	V9M398	reviewed	RUN1_VITRO	Disease resistance protein RUN1 (NAD(+) hydrolase RUN1) (EC 3.2.2.6) (NADP(+) hydrolase RUN1) (EC 3.2.2.-) (Resistance to Uncinula necator protein) (MrRUN1)	RUN1	Vitis rotundifolia (Muscadine grape)	1331
3OV5	Q8PJB3	unreviewed	Q8PJB3_XANAC	Toxin co-regulated pilus biosynthesis protein Q C-terminal domain-containing protein	XAC2622	Xanthomonas axonopodis pv. citri (strain 306)	139
5W5B	P9WMH5	reviewed	CMR_MYCTU	HTH-type transcriptional regulator Cmr	cmr Rv1675c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	244
3K8U	Q8DW05	unreviewed	Q8DW05_STRMU	ABC transporter, ATP-binding protein ComA	SMU_286	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	760
2WFI	Q13427	reviewed	PPIG_HUMAN	Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)	PPIG	Homo sapiens (Human)	754
2XU0	B7T1P0	unreviewed	B7T1P0_PLAFA	Erythrocyte membrane protein 1	varO	Plasmodium falciparum (malaria parasite P. falciparum)	2459
3Q2I	Q7NQL0	unreviewed	Q7NQL0_CHRVO	Probable dehydrogenase	CV_4127	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	352
4GQV	O23193	reviewed	CBSX1_ARATH	CBS domain-containing protein CBSX1, chloroplastic (CBS domain-containing protein 2) (AtCDCP2) (Protein LOSS OF THE TIMING OF ET AND JA BIOSYNTHESIS 2) (AtLEJ2)	CBSX1 CDCP2 At4g36910 AP22.61 C7A10.450	Arabidopsis thaliana (Mouse-ear cress)	236
5OLT	Q7CPI7	reviewed	BCSG_SALTY	Cellulose biosynthesis protein BcsG	bcsG STM3624	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	559
1W0N	P45796	reviewed	XYND_PAEPO	Arabinoxylan arabinofuranohydrolase (AXH) (EC 3.2.1.55) (AXH-m2,3) (AXH-m23) (Alpha-L-arabinofuranosidase) (AF)	xynD	Paenibacillus polymyxa (Bacillus polymyxa)	635
3VP5	Q9CHR1	unreviewed	Q9CHR1_LACLA	Transcriptional regulator	ygfC L53789	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)	189
4PDN	A0A0J9X1Z5	unreviewed	A0A0J9X1Z5_ECOLX	Elongation factor P hydroxylase	WCE_02429	Escherichia coli KTE5	190
4ALZ	Q01245	reviewed	YSCD_YEREN	Yop proteins translocation protein D	yscD	Yersinia enterocolitica	418
3E99	A0A0H2WBM4	unreviewed	A0A0H2WBM4_BURMA	Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)	benB BMAA0186	Burkholderia mallei (strain ATCC 23344)	163
6Q64	A0A0P0FQI4	unreviewed	A0A0P0FQI4_BACT4	Endoglycosidase (Glycoside hydrolase) (Putative glycoside hydrolase family 18 protein)	BatF92_19920 BSIG_0571 Btheta7330_02659 DW780_07445 DWY18_08780 DXA83_06405 EH213_04033 ERS852511_00641 GAC70_16560 GAN59_14350 GAN91_04370 GAN93_10380 GAO00_17975 GAO51_01160 HMPREF2534_00734	Bacteroides thetaiotaomicron	364
4GL3	A7V8P4	unreviewed	A7V8P4_BACUC	Glycoamylase-like domain-containing protein	BACUNI_03963	Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CCUG 4942 / CIP 103695 / JCM 5828 / KCTC 5204 / NCTC 13054 / VPI 0061)	449
5W8X	P10441	reviewed	LPXB_ECOLI	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB pgsB b0182 JW0177	Escherichia coli (strain K12)	382
1XKS	Q8WUM0	reviewed	NU133_HUMAN	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)	NUP133	Homo sapiens (Human)	1156
3N0X	Q6N1K8	unreviewed	Q6N1K8_RHOPA	Possible substrate binding protein of ABC transporter system	RPA4397	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	388
2QHP	Q8A6W9	unreviewed	Q8A6W9_BACTN	Fructokinase	BT_1757	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	295
3VOR	Q59393	unreviewed	Q59393_ECOLX	CFA/III pilin (CofA) (Major pilin subunit)	cofA	Escherichia coli	238
5JRT	Q9H2K2	reviewed	TNKS2_HUMAN	Poly [ADP-ribose] polymerase tankyrase-2 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Poly [ADP-ribose] polymerase 5B) (Protein poly-ADP-ribosyltransferase tankyrase-2) (EC 2.4.2.-) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-2) (TANK2) (Tankyrase-like protein) (Tankyrase-related protein)	TNKS2 PARP5B TANK2 TNKL	Homo sapiens (Human)	1166
3G21	P03322	reviewed	GAG_RSVP	Gag polyprotein [Cleaved into: Matrix protein p19; p2A; p2B; p10; Capsid protein p27, alternate cleaved 1; Capsid protein p27, alternate cleaved 2; Spacer peptide (SP) (p3); Nucleocapsid protein p12 (NCp12); Protease p15 (EC 3.4.23.-)]	gag	Rous sarcoma virus subgroup C (strain Prague) (RSV-Pr-C)	701
2ZXR	Q5SJ47	reviewed	RECJ_THET8	Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	recJ TTHA1167	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	666
1RFE	O53240	unreviewed	O53240_MYCTU	Conserved protein	Rv2991	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	163
